[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] 
[03:44:11] [INFO] ================================================================================
[03:44:11] [INFO] TEP GNSS Analysis Package v0.15 (Jaipur) - STEP 3.1: Robust Block Bootstrap
[03:44:39] [DEBUG] Loaded 1000 chunks...
[03:44:39] [DEBUG] Loaded 1010 chunks...
[03:44:39] [DEBUG] Loaded 1020 chunks...
[03:44:40] [DEBUG] Loaded 1030 chunks...
[03:44:40] [DEBUG] Loaded 1040 chunks...
[03:44:40] [DEBUG] Loaded 1050 chunks...
[03:44:40] [DEBUG] Loaded 1060 chunks...
[03:44:41] [DEBUG] Loaded 1070 chunks...
[03:44:41] [DEBUG] Loaded 1080 chunks...
[03:44:41] [DEBUG] Loaded 1090 chunks...
[03:44:42] [DEBUG] Loaded 1100 chunks...
[03:44:42] [DEBUG] Loaded 1110 chunks...
[03:44:42] [DEBUG] Loaded 1120 chunks...
[03:44:42] [DEBUG] Loaded 1130 chunks...
[03:44:43] [DEBUG] Loaded 1140 chunks...
[03:44:43] [DEBUG] Loaded 1150 chunks...
[03:44:43] [DEBUG] Loaded 1160 chunks...
[03:44:43] [DEBUG] Loaded 1170 chunks...
[03:44:44] [DEBUG] Loaded 1180 chunks...
[03:44:44] [DEBUG] Loaded 1190 chunks...
[03:44:44] [DEBUG] Loaded 1200 chunks...
[03:44:45] [DEBUG] Loaded 1210 chunks...
[03:44:45] [DEBUG] Loaded 1220 chunks...
[03:44:45] [DEBUG] Loaded 1230 chunks...
[03:44:45] [DEBUG] Loaded 1240 chunks...
[03:44:46] [DEBUG] Loaded 1250 chunks...
[03:44:46] [DEBUG] Loaded 1260 chunks...
[03:44:46] [DEBUG] Loaded 1270 chunks...
[03:44:47] [DEBUG] Loaded 1280 chunks...
[03:44:47] [DEBUG] Loaded 1290 chunks...
[03:44:47] [DEBUG] Loaded 1300 chunks...
[03:44:47] [DEBUG] Loaded 1310 chunks...
[03:44:48] [DEBUG] Loaded 1320 chunks...
[03:44:48] [DEBUG] Loaded 1330 chunks...
[03:44:48] [DEBUG] Loaded 1340 chunks...
[03:44:48] [DEBUG] Loaded 1350 chunks...
[03:44:49] [DEBUG] Loaded 1360 chunks...
[03:44:49] [DEBUG] Loaded 1370 chunks...
[03:44:49] [DEBUG] Loaded 1380 chunks...
[03:44:50] [DEBUG] Loaded 1390 chunks...
[03:44:50] [DEBUG] Loaded 1400 chunks...
[03:44:50] [DEBUG] Loaded 1410 chunks...
[03:44:50] [DEBUG] Loaded 1420 chunks...
[03:44:51] [DEBUG] Loaded 1430 chunks...
[03:44:51] [DEBUG] Loaded 1440 chunks...
[03:44:51] [DEBUG] Loaded 1450 chunks...
[03:44:51] [DEBUG] Loaded 1460 chunks...
[03:44:52] [DEBUG] Loaded 1470 chunks...
[03:44:52] [DEBUG] Loaded 1480 chunks...
[03:44:52] [DEBUG] Loaded 1490 chunks...
[03:44:53] [DEBUG] Loaded 1500 chunks...
[03:44:53] [DEBUG] Loaded 1510 chunks...
