code,coord_source_code,lat_deg,lon_deg,height_m,X,Y,Z,geomag_lat,geomag_lon,has_coordinates
UNFE00ITA,UNFE,44.833,11.599,81.01,4438224.203,910993.895,4474260.252,42.34090647854699,11.599,True
UNSA00ARG,UNSA,-24.727,-65.408,1257.8,2412830.4245,-5271936.73,-2652209.0548,-14.042297178983782,-65.408,True
UNX200AUS,UNX2,-33.918,151.232,87.07,-4644465.21,2549952.76,-3538929.46,-46.26966319934451,151.232,True
UNX300AUS,UNX3,-33.918,151.232,87.07,-4644465.21,2549952.76,-3538929.46,-46.26966319934451,151.232,True
UPAD00ITA,UPAD,45.407,11.878,84.04,4389531.28,923253.65,4519256.35,43.03779550328298,11.878,True
URAL00RUS,URAL,56.838,60.615,279.96,1716013.966,3047281.697,5316302.551,60.502511771083455,60.615,True
URUM00CHN,URUM,43.808,87.601,858.9,193030.2318,4606851.332,4393311.5615,47.092167096745705,87.601,True
USC100USA,USC1,34.02,-118.29,21.93,-2507564.82,-4659953.34,3548660.97,39.571525601204286,-118.29,True
USCL00CHL,USCL,-33.45,-70.681,570.2,1762489.887,-5027632.74,-3496009.235,-19.392133216747627,-70.681,True
USN100USA,USN1,38.921,-77.066,57.405,1112161.053,-4842855.273,3985494.218,46.96883325668638,-77.066,True
USN300USA,USN3,38.921,-77.066,57.519,1112162.14,-4842853.628,3985496.084,46.96883323388106,-77.066,True
USN700USA,USN7,38.921,-77.066,58.924,1112162.138,-4842854.667,3985497.066,46.96883295281596,-77.066,True
USN800USA,USN8,38.921,-77.06599999999997,58.924,1112162.138,-4842854.667,3985497.066,46.96883295281596,-77.06599999999997,True
USN900USA,USN9,38.921,-77.06599999999997,58.924,1112162.138,-4842854.667,3985497.066,46.96883295281596,-77.06599999999997,True
USNA00USA,USNA,38.983,-76.48,-26.308,1160668.953,-4826883.3189,3990863.0442,46.884837988043046,-76.48,True
USNO00USA,USNO,38.919,-77.066,48.9,1112189.773,-4842955.026,3985352.266,46.96673976577188,-77.066,True
