local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.014409144709188405,0.7212688604336924,1026299
1,0.012856002383963163,0.7207951644058466,966565
2,0.013710897021395455,0.7202614550264606,1027790
3,0.014631439935471934,0.7200252989937648,1047725
4,0.013386523383886198,0.7204118253927524,1048272
5,0.01495433714918239,0.7222033933532945,1069981
6,0.015678247437277783,0.7272342104518479,1078336
7,0.015931877717672707,0.7222658465087642,1065925
8,0.01609188106330593,0.7217594901099678,1023942
9,0.013940512582130344,0.7213487766417581,1077491
10,0.01659059556855475,0.7211464118597969,1011048
11,0.013374178322426038,0.7209617470385996,988243
12,0.014364588495498137,0.7208242652804397,1074740
13,0.01371285412249638,0.7209452157972698,1066307
14,0.012101559852714678,0.7198512695961313,1046784
15,0.011130084956277039,0.7206241476062337,1086494
16,0.011597602094834356,0.7201184345264185,1014360
17,0.010027363044809686,0.720803320754354,1025435
18,0.010743170131445134,0.7219753385681875,1037224
19,0.011417719929515565,0.7221845673444698,1017772
20,0.013769241282829912,0.7221036169157934,1038927
21,0.011804901417487017,0.7201836635099653,1040582
22,0.011563588164417193,0.7205189453526939,1088438
23,0.011956914989050013,0.7216535686184972,1074272
