distance_km,mean_coherence,count,coherence_pred
230.0700035988253,0.2167735845916368,221,0.11803634890184954
285.81562253973624,0.06436644900830259,229,0.11554158458869541
327.0547992892443,0.12614103478158953,246,0.11372565099010008
404.91511136346304,0.061276208669446,676,0.11036450904784083
539.8318382816815,0.1496495823748448,1034,0.1047430826098032
659.9875932809558,0.139123628703429,721,0.09994531456394684
754.2012637203887,0.08917817760430777,726,0.0963156406779864
933.8850642962934,0.07300950677578781,2439,0.08970159003812805
1141.9328342444956,0.05886360381423233,1682,0.08252273866483648
1310.158766739747,0.07261946852953828,1661,0.07707149145329135
1507.787621978587,0.09372580165887602,1707,0.07104629858874666
1868.4128787328186,0.04685904529837748,4672,0.061025143340126875
2288.917757883465,0.059404691414406095,2800,0.05076534926573714
2638.869031857784,0.05235319428882619,2775,0.04325861959919039
3276.733786893119,0.029876262615414022,7467,0.03163923990100137
4005.269644584502,0.025922869141848187,4929,0.021067000288897467
4958.989206693948,0.013830767183493464,14620,0.010595008025721917
6079.790166235106,0.019517386801429615,9570,0.0018743920004594995
6992.276020404149,-0.008770712207515689,11994,-0.0031733118498305096
8026.647003274207,-0.010707978911641729,18959,-0.007313146130388918
9803.161045664941,-0.023304410084912814,39830,-0.011805029751143031
12143.878720819846,0.005754080415196814,18429,-0.014815133688480805
