local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.010270380619857581,0.7188472696334668,376558
1,0.015749037881171872,0.7183593934792655,423185
2,0.0111510908677267,0.718061833197435,453933
3,0.016205480174193748,0.7179251909564702,455588
4,0.015056780918747414,0.7185286569656947,458984
5,0.016433742366172354,0.7218149245230505,456722
6,0.016403748801186877,0.7212846044372461,463284
7,0.014159725405738776,0.7186406026258394,436592
8,0.01622149274763792,0.7183931879075365,456959
9,0.012854549262959357,0.7196267753128772,445734
10,0.015644363907876987,0.7186975410651686,460621
11,0.013076671367660707,0.7183190298860108,436519
12,0.014708834069587156,0.7191466391858975,458577
13,0.011435740340240566,0.7181017805297836,458559
14,0.013124344833007232,0.7187216011465792,459028
15,0.014594910526132947,0.7183903023913139,447856
16,0.011548156505512662,0.7191852177407767,443859
17,0.012790634261162956,0.720122997858204,460232
18,0.014849555682160348,0.7197188591536914,448239
19,0.015411793107126811,0.7194430000278237,421328
20,0.012656199536341022,0.7193344660617934,459328
21,0.012589607651878103,0.7182511851491683,460258
22,0.012816103905182598,0.7201806924304273,450742
23,0.01617230289774522,0.7181760083916147,438839
