local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.007881373458989331,0.7198275795918753,1015585
1,0.00696615482714755,0.7200495960176907,940555
2,0.007995757403122958,0.7190808669095988,1008718
3,0.008542567026111805,0.71875471232677,998297
4,0.009572749654174572,0.7200092293699879,1014393
5,0.010306912391423135,0.7201219610576983,1026955
6,0.008682042037516496,0.7247364713400722,1059100
7,0.010729276024282999,0.7208201328524881,1057793
8,0.010439237585584946,0.7201542114920252,1016195
9,0.008704878037847325,0.7199437768884397,1035467
10,0.010372632286941873,0.7195299415449322,1024270
11,0.008559071737175416,0.7201276976343188,990179
12,0.009111038789140172,0.7189381293274398,1049160
13,0.009065248767337691,0.719010364496033,1045140
14,0.006603152337715782,0.7192154838024433,1030849
15,0.0067759916745053946,0.7202531950108981,1066801
16,0.007479564982969134,0.7196899933994867,1031806
17,0.007886472348271908,0.7202965504366208,1035088
18,0.006780482386097699,0.7204977286722793,1037510
19,0.007699966123166287,0.7210276268235841,991265
20,0.00956143452971045,0.7210006395372007,987854
21,0.006681025355043647,0.7192765054060398,1051533
22,0.007179783643017169,0.719619827506283,1065275
23,0.00784221700799429,0.721068719133845,1028569
