distance_km,mean_coherence,count,coherence_pred
949.7054593523862,0.17710015240345145,403,0.2181272988481476
1143.984779653861,0.1347446351461518,529,0.20366368329307652
1317.6385230587102,0.16637015810520883,338,0.1914041521031732
1512.286556159711,0.21193528186489313,559,0.17837311063896535
1864.5971556256316,0.20774995726911263,1785,0.15656989888102726
2300.145597505492,0.09773175235779451,1163,0.13250552464718235
2655.5106078766216,0.12151633061986546,1319,0.11499212166816009
3254.1268468147746,0.07867874334580732,4060,0.08926260536454536
3988.7908366401293,0.05643767874172932,2710,0.0631937715842969
4976.229859725249,0.048383463527254894,7825,0.03582111439889477
6108.503546151431,0.0353562960372889,5303,0.012677541286840288
6954.86542772977,-0.004552042955803083,7496,-0.00030120462823685773
8023.378775569929,-0.02708545854478538,10069,-0.012750338469042437
9896.65240747403,-0.03703947113415037,26117,-0.027145822768584557
12118.902389593512,-0.018895562869669986,14670,-0.03665174030426214
