local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.007076662806223651,0.7243671544815093,107136
1,0.009058508575339725,0.7205643411369477,121302
2,0.006215097948563621,0.7190341465175114,118566
3,0.006199919956176736,0.7205790373911879,119052
4,0.01529052145091125,0.7216632426173725,117198
5,0.009880513125134658,0.7278803152396431,122706
6,0.009320738202990493,0.7247318722835366,123768
7,0.011046887645114415,0.7201997006365509,121176
8,0.00948370129074692,0.7206755567781885,116208
9,0.007748734041720381,0.7224642165723648,121176
10,0.008730273873485864,0.7218714069870744,120690
11,0.0104628417585156,0.7215910340486202,114822
12,0.008928364953286388,0.7209472205822156,122814
13,0.0050696670455242085,0.7206348969138012,122058
14,0.006612559762773442,0.7202583203196464,124326
15,0.005979542514827178,0.7208967947721514,120726
16,0.009525208459669752,0.7204507243736112,119376
17,0.004829229745252481,0.7234545331800487,120330
18,0.0059605257733797235,0.7216997374506059,121932
19,0.0052000971999194515,0.7252744938835551,106560
20,0.011065040149522387,0.7217553736799542,118350
21,0.011616614320200233,0.7211298963206153,123174
22,0.009041027693001068,0.7219617981222675,117720
23,0.011368386730248557,0.7212766836525898,122058
