distance_km,mean_coherence,count,coherence_pred
73.53977219682521,0.0768974970224156,734,0.21951711982771718
97.01735802135023,0.04052275892372887,883,0.21780103743006643
109.10957749334635,0.12033095816187625,1479,0.2169218723696624
222.5225977191293,0.2847558684838368,2462,0.20882973206597122
298.40525314097226,-0.050752065334124456,1276,0.20356729716781946
322.4286468862194,0.1742811338686058,3717,0.20192612224059225
410.7644616180906,0.2634908288808515,10372,0.19599220119747396
556.4545275009511,0.1756581583195884,16693,0.18654300015496347
656.5656853892212,0.1528927484250923,10555,0.1802855163438192
756.1459682743734,0.15480607695780454,17090,0.17424508699510155
936.1202881496173,0.17711671955600092,54832,0.1637759501925011
1140.8994126709229,0.14235898530591953,47662,0.15253222083181542
1305.7205599104832,0.12923715503937663,49403,0.14397149636032758
1513.9906273365814,0.15697833469555286,57408,0.13374280134595204
1860.9152588838003,0.13107855340504995,204280,0.1180627380029112
2302.6831508565233,0.09576652059953061,132776,0.1003210353067523
2644.0208407817936,0.08155103441004914,150005,0.08813709314836353
3265.028609746796,0.06846606479297568,385414,0.0689335409043415
3990.6932122803787,0.04740465272214198,262552,0.05059229586597884
4973.992117280504,0.026316608409477575,752039,0.031332648801030955
6093.621278275982,0.009000006922070631,516714,0.01532364482143624
6974.487456676328,0.01169298225009035,681926,0.0060133826070739235
8028.55133220673,0.0033420293490986925,982307,-0.0023288266172334753
9881.934566943715,-0.010335710352158063,2349430,-0.01189094116803382
12134.01356503164,-0.023196196830372877,1243830,-0.018201885416197848
