local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.01120911478044094,0.7235163027820485,113342
1,0.008318112561543897,0.7189575749468999,134112
2,0.0038755699991832636,0.7192035437326982,133128
3,0.004914486093981284,0.720324926895539,128973
4,0.009909298889011058,0.7213194070084983,128806
5,0.006249356422755468,0.7288964857516294,134413
6,0.012078239033428794,0.7257615222537612,132976
7,0.011591435623260107,0.7197477228746187,134209
8,0.0019177125948300498,0.7212792303472992,126094
9,0.004709102112186981,0.7205413398609088,135316
10,0.010346649588435985,0.7201210104114332,129070
11,0.007654477768784986,0.7215616350982248,121280
12,0.004901110824946095,0.7216044529342655,131708
13,0.0038276476449377777,0.7204610888953441,135319
14,3.7319766482396214e-06,0.7200437995511056,135429
15,0.0052240802435512,0.7206257544444451,131070
16,0.0053446671799150455,0.7211418062527787,128971
17,0.0011154075879889706,0.7237013432335465,127603
18,0.0027809906969532817,0.7221043772025043,135225
19,0.008695920001951858,0.7242403180151596,117810
20,0.0078059886916608595,0.7224550127240743,120911
21,0.008408170297759787,0.7205498285657398,129999
22,0.006685473915732934,0.7221174636881589,134624
23,0.0085520752509456,0.7212716715934725,134510
